,base_case
CH3CH2O + M <=> CH3CHO + H + M,0.0
CH3CH2O (+M) <=> CH2O + CH3 (+M),0.0
CH3CH2O + O2 <=> CH3CHO + HO2,0.0
CH3CH2O + CO <=> C2H5 + CO2,0.0
CH3CH2O + H <=> CH2OH + CH3,0.0
CH3CH2O + H <=> C2H4 + H2O,0.0
CH3CH2O + OH <=> CH3CHO + H2O,0.0
CH3CHOH + O2 <=> CH3CHO + HO2,0.0
CH3CHOH + O <=> CH3CHO + OH,0.0
CH3CHOH + H <=> C2H4 + H2O,0.0
CH3CHOH + H <=> CH2OH + CH3,0.0
CH3CHOH + HO2 <=> CH3CHO + 2 OH,0.0
CH3CHOH + OH <=> CH3CHO + H2O,0.0
CH3CHOH + M <=> CH3CHO + H + M,0.0
C3H4 + O <=> C2H4 + CO,0.0
C2H2 + CH3 <=> C3H4 + H,0.0
C3H4 + O <=> CH3 + HCCO,0.0
C3H3 + H (+M) <=> C3H4 (+M),0.0
C3H3 + HO2 <=> C3H4 + O2,0.0
C3H4 + OH <=> C3H3 + H2O,0.0
C3H3 + O2 <=> CH2CO + HCO,0.0
C3H4 + H (+M) <=> C3H5 (+M),0.0
C3H5 + H <=> C3H4 + H2,0.0
C3H5 + O2 <=> C3H4 + HO2,0.0
C3H5 + CH3 <=> C3H4 + CH4,0.0
C2H2 + CH3 (+M) <=> C3H5 (+M),0.0
C3H5 + OH <=> C3H4 + H2O,0.0
C3H3 + HCO <=> C3H4 + CO,0.0
C3H3 + HO2 <=> C2H3 + CO + OH,0.0
C3H4 + O2 <=> CH3 + CO + HCO,0.0
C3H6 + O <=> C2H5 + HCO,0.0
C3H6 + OH <=> C3H5 + H2O,0.0
C3H6 + O <=> CH2CO + CH3 + H,0.0
C3H6 + H <=> C3H5 + H2,0.0
C3H5 + H (+M) <=> C3H6 (+M),0.0
C3H5 + HO2 <=> C3H6 + O2,0.0
C3H5 + HO2 <=> C2H3 + CH2O + OH,0.0
C2H3 + CH3 (+M) <=> C3H6 (+M),0.0
C3H6 + H <=> C2H4 + CH3,0.0
C2H3 + CH3 <=> C3H5 + H,0.0
C3H8 (+M) <=> C2H5 + CH3 (+M),0.0
C3H8 + O2 <=> HO2 + I-C3H7,0.0
C3H8 + O2 <=> HO2 + N-C3H7,0.0
C3H8 + H <=> H2 + I-C3H7,0.0
