,base_case
C2H2 + CH2 <=> C3H3 + H,0.0
C2H2 + CH2(S) <=> C3H3 + H,0.0
C2H2 + HCCO <=> C3H3 + CO,0.0
C2H2 + OH <=> C2H + H2O,0.0
C2H2 + OH <=> CH2CO + H,0.0
C2H2 + OH <=> CH3 + CO,0.0
C2H + O2 <=> CO + HCO,0.0
C2H + O <=> CH + CO,0.0
C2H + H2 <=> C2H2 + H,0.0
C2H + OH <=> H + HCCO,0.0
CH3CHO (+M) <=> CH3 + HCO (+M),0.0
CH3CHO (+M) <=> CH4 + CO (+M),0.0
CH3CHO + O2 <=> CH3CO + HO2,0.0
CH3CHO + O <=> CH3CO + OH,0.0
CH3CHO + OH <=> CH3CO + H2O,0.0
CH3CHO + HO2 <=> CH3CO + H2O2,0.0
CH3CHO + CH3O2 <=> CH3CO + CH3O2H,0.0
CH3CHO + H <=> CH2CHO + H2,0.0
CH3CHO + OH <=> CH2CHO + H2O,0.0
CH3CHO + OH <=> CH3 + HOCHO,0.0
CH3CO <=> CH3 + CO,0.0
CH3CO + O2 <=> CH3CO3,0.0
CH3CO + O2 <=> CH2CO + HO2,0.0
CH3CO (+M) <=> CH2CO + H (+M),0.0
CH3CO + H <=> CH2CO + H2,0.0
CH3CO + O <=> CH2CO + OH,0.0
CH3 + CH3CO <=> CH2CO + CH4,0.0
CH2CHO (+M) <=> CH2CO + H (+M),0.0
CH2CHO (+M) <=> CH3 + CO (+M),0.0
CH2CO (+M) <=> CH2 + CO (+M),0.0
C2H3 + O <=> CH2CO + H,0.0
CH2CO + H <=> CH3 + CO,0.0
CH3 + HCO <=> CH2CO + H2,0.0
CH + CH2O <=> CH2CO + H,0.0
CH2CO + O <=> CH2 + CO2,0.0
CH2CO + OH <=> CH2OH + CO,0.0
CH2(S) + CH2CO <=> C2H4 + CO,0.0
CH2CO + CH3 <=> C2H5 + CO,0.0
HCCO + OH => 2 CO + H2,0.0
HCCO + O => 2 CO + H,0.0
CH + CO + M <=> HCCO + M,0.0
H + HCCO <=> CH2(S) + CO,0.0
HCCO + O2 => 2 CO + OH,0.0
HCCO + O2 => CO + CO2 + H,0.0
CH + HCCO <=> C2H2 + CO,0.0
C2H5OH <=> C2H4 + H2O,0.0
C2H5OH <=> CH2OH + CH3,0.0
C2H5OH <=> C2H5 + OH,0.0
C2H5OH + O <=> C2H5O + OH,0.0
C2H5OH + OH <=> C2H5O + H2O,0.0
C2H5OH + H <=> C2H5O + H2,0.0
C2H5OH + HO2 <=> C2H5O + H2O2,0.0
C2H5OH + CH3 <=> C2H5O + CH4,0.0
C2H5OH + CH3O2 <=> C2H5O + CH3O2H,0.0
C2H5 + C2H5OH <=> C2H6 + PC2H4OH,0.0
C2H5OH + O2 <=> HO2 + SC2H4OH,0.0
C2H5OH + O <=> OH + SC2H4OH,0.0
C2H5OH + H <=> H2 + SC2H4OH,0.0
C2H5OH + OH <=> H2O + SC2H4OH,0.0
C2H5OH + HO2 <=> H2O2 + SC2H4OH,0.0
C2H5OH + CH3 <=> CH4 + SC2H4OH,0.0
C2H5OH + CH3O2 <=> CH3O2H + SC2H4OH,0.0
C2H5 + C2H5OH <=> C2H6 + SC2H4OH,0.0
C2H5OH + O2 <=> HO2 + PC2H4OH,0.0
C2H5OH + O <=> OH + PC2H4OH,0.0
C2H5OH + H <=> H2 + PC2H4OH,0.0
C2H5OH + OH <=> H2O + PC2H4OH,0.0
C2H5OH + HO2 <=> H2O2 + PC2H4OH,0.0
C2H5OH + CH3 <=> CH4 + PC2H4OH,0.0
C2H5OH + CH3O2 <=> CH3O2H + PC2H4OH,0.0
SC2H4OH <=> CH3CHO + H,0.0
SC2H4OH <=> C2H5O,0.0
SC2H4OH <=> PC2H4OH,0.0
CH2O + CH3 <=> C2H5O,0.0
CH3CHO + H <=> C2H5O,0.0
C2H5O + O2 <=> CH3CHO + HO2,0.0
O2 + SC2H4OH <=> CH3CHO + HO2,0.0
C3H8 (+M) <=> C2H5 + CH3 (+M),0.0
H + NC3H7 <=> C3H8,0.0
H + IC3H7 <=> C3H8,0.0
C3H8 + IC3H7 <=> C3H8 + NC3H7,0.0
C3H8 + O2 <=> HO2 + IC3H7,0.0
C3H8 + H <=> H2 + IC3H7,0.0
C3H8 + H <=> H2 + NC3H7,0.0
C3H8 + O <=> IC3H7 + OH,0.0
C3H8 + OH <=> H2O + IC3H7,0.0
C3H8 + HO2 <=> H2O2 + IC3H7,0.0
C3H8 + CH3 <=> CH4 + IC3H7,0.0
C2H3 + C3H8 <=> C2H4 + IC3H7,0.0
C2H5 + C3H8 <=> C2H6 + IC3H7,0.0
C3H5-A + C3H8 <=> C3H6 + IC3H7,0.0
C3H8 + CH3O <=> CH3OH + IC3H7,0.0
C3H8 + CH3O2 <=> CH3O2H + IC3H7,0.0
C2H5O2 + C3H8 <=> C2H5O2H + IC3H7,0.0
C3H8 + O2 <=> HO2 + NC3H7,0.0
C3H8 + O <=> NC3H7 + OH,0.0
C3H8 + OH <=> H2O + NC3H7,0.0
C3H8 + HO2 <=> H2O2 + NC3H7,0.0
C3H8 + CH3 <=> CH4 + NC3H7,0.0
C2H3 + C3H8 <=> C2H4 + NC3H7,0.0
C2H5 + C3H8 <=> C2H6 + NC3H7,0.0
C3H5-A + C3H8 <=> C3H6 + NC3H7,0.0
C3H8 + CH3O <=> CH3OH + NC3H7,0.0
C3H8 + CH3O2 <=> CH3O2H + NC3H7,0.0
C2H5O2 + C3H8 <=> C2H5O2H + NC3H7,0.0
H + IC3H7 <=> C2H5 + CH3,0.0
IC3H7 + OH <=> C3H6 + H2O,0.0
IC3H7 + O <=> CH3COCH3 + H,0.0
IC3H7 + O <=> CH3 + CH3CHO,0.0
HO2 + NC3H7 => C2H5 + CH2O + OH,0.0
CH3O2 + NC3H7 => C2H5 + CH2O + CH3O,0.0
HO2 + IC3H7 => CH3 + CH3CHO + OH,0.0
CH3O2 + IC3H7 => CH3 + CH3CHO + CH3O,0.0
C2H3 + CH3 (+M) <=> C3H6 (+M),0.0
