phi,phi Er,blend,T_in,T,U,P,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re,,
0.9500735800,0.0000000000,0.3000000000,295.0202479339,550.9841597796,0.3987996189,101325.0000000000,331493.8915240030,27970.3726313578,8184.2493854793,647.7233883872,15.4213580637,33.9937610501,7.0446939286,33.9776119854,12.1513491609,1.1501809337,-0.0562451172,0.6794806190,0.3974003177,0.8498759079,0.0000183620,868.7499349556,,
0.9505046099,0.0000000000,0.3000000000,296.4942148760,553.4537190083,0.3999357258,101325.0000000000,327119.2422071100,27136.5822268472,8132.9245016580,630.7257125403,18.3446844737,33.6606999473,6.0310927289,33.6357819021,9.5570405840,0.9811965718,-0.0740074635,0.6726779640,0.5758949970,0.8419201395,0.0000183620,871.2248441679,,
0.9994480409,0.0000000000,0.3000000000,296.4640495868,565.4217630854,0.4256860549,101325.0000000000,319449.3124193080,19933.1157784109,7116.6748148587,409.1926019083,3.2590573756,28.8328335692,7.2173100249,28.8349157909,11.0020166936,0.8264517390,1.0122528873,0.5792129633,0.4288334513,0.7211767911,0.0000184944,920.6802743931,,
1.0003341351,0.0000000000,0.3000000000,294.1818181818,542.9409090909,0.4244883971,101325.0000000000,325853.1295615060,22333.6208144011,7050.3050227067,451.2178762827,-0.5415311876,30.4054961842,7.5163506886,30.4088518114,8.4813517773,0.7943468696,0.9997809596,0.6110864586,0.3927502494,0.7605052923,0.0000184944,918.0899619232,,
1.0499704473,0.0000000000,0.3000000000,296.3446280992,578.5548209366,0.4452224344,101325.0000000000,301920.7330404050,8197.5322387801,5402.2572284387,119.3487766955,2.2899363181,22.6119229867,6.1999920467,22.6119597500,9.9138491362,0.4576482945,2.4244693244,0.4525637123,0.3481221284,0.5653032979,0.0000186281,956.0224833240,,
1.0502380028,0.0000000000,0.3000000000,295.0607438017,576.8528925620,0.4436601141,101325.0000000000,300192.7415200260,8083.9534237426,5354.9330584141,117.5300921926,-0.8479941172,22.3469473567,6.5017344269,22.3469904360,10.4505306194,0.4525647213,2.4814358135,0.4472579998,0.2238195435,0.5586757427,0.0000186281,952.6677259397,,
1.1002915003,0.0000000000,0.3000000000,293.8896694215,573.3909090909,0.4429015503,101325.0000000000,315664.6289517470,7188.0562094977,3453.9070881864,101.6393808464,0.5855906822,20.0269085874,5.1034775374,20.0269249204,5.1263866889,0.4013722914,3.6798106489,0.4009681766,0.2382198003,0.5006741517,0.0000187595,944.3772934565,,
1.1004531704,0.0000000000,0.3000000000,295.0657024793,581.5351239669,0.4429643273,101325.0000000000,291508.2695507490,7162.6229104444,3493.9848752080,101.6823997208,-0.1193510815,20.0284676004,5.3212146423,20.0284855890,15.6115362729,0.4082414620,3.8133154742,0.4010312199,0.1835718802,0.5007125466,0.0000187595,944.5111498320,,
1.1488674719,0.0000000000,0.3000000000,294.3351239669,579.0376033058,0.4272409385,101325.0000000000,295330.9334442600,7164.1776371529,1814.7266722130,100.5271603554,0.3792013311,20.0219599650,4.5307487521,20.0219729085,15.8008698835,0.4082890183,4.9042003328,0.4012020783,0.1333334443,0.5005494484,0.0000188847,904.9451853374,,
1.1499367472,0.0000000000,0.3000000000,295.1190082645,583.3253443526,0.4288611242,101325.0000000000,310857.7221297840,7179.8991813169,1702.4267886855,100.4642612959,1.3671214642,20.0194026740,4.1136605657,20.0194122289,9.6555425957,0.4033359991,4.8795081531,0.4011429626,0.1729231281,0.5004857964,0.0000188847,908.3769240425,,
