phi,phi Er,fuel,oxidizer,blend,T_in,T,U,P,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,H2,H2 Er,O2,O2 Er,dynamic_viscosity,Re
1.099152561,0.005506361,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.4009151,585.5868552,0.244138745,102071.3232,74.37614618,100.0039475,303230.0365,7430.641144,2015.601827,100.1721896,0.913654485,4,1.81413289,2.141851364,13.47737774,0.502824093,3.331742525,0.200257147,0.162552824,0.250131725,1.98E-05,492.8482657
1.101303302,0.005225503,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.21,478.9139327,0.409270326,101724.686,86.95614618,100.0072454,298176.6645,7139.392994,1448.628439,115.5055957,2.081295681,4.032291489,1.527325581,2.007824747,8.088103654,0.42469162,3.853375083,0.2,0.18032392,0.250138145,1.98E-05,825.8996262
1.144506611,0.0054912,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.21,447.7755,0.381853677,101724.686,102.5364452,100.0132826,295354.8538,7249.877126,349.9774585,13.15763962,2.079900332,4.04075591,0.679421927,2.003425545,29.62390698,10.14409093,4.921866777,0.2,0.16043289,0.250094722,2.00E-05,764.9307089
1.147729436,0.005423436,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.2200499,472.6424016,0.262208387,102071.3232,106.8355816,109.7389256,294322.7416,8161.774904,298.059346,35.93374568,3.648412726,4.608222746,0.819721913,2.271501154,64.47090794,28.98037067,4.973545008,0.230548088,0.213635053,0.283767083,2.00E-05,524.9700556
1.149497735,0.005523631,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.15,455.8648257,0.396193594,101724.686,103.0555482,100.0131255,294847.1595,7307.885157,322.0396412,23.24696157,1.974285714,4.051472725,0.710461794,2.002386873,39.58282724,11.67663903,4.964986047,0.2,0.173442525,0.250150894,2.00E-05,792.9856506
1.150136826,0.005550879,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.2532446,472.9348863,0.261893075,102071.3232,106.9194764,109.8246236,294028.4359,8156.714435,285.3116985,34.13922982,3.615356397,4.686836905,0.838169198,2.278994481,66.63202838,22.48650995,5.014068767,0.244005274,0.214829654,0.283698232,2.00E-05,524.1250201
1.152092602,0.005938074,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.8613145,578.7259567,0.240504456,102071.3232,92.68501661,100.0112772,297013.9468,7608.33096,727.5210299,114.7220086,0.260299003,4,0.789009967,2.166820615,13.22549269,0.473043956,4.539040864,0.229845544,0.118855482,0.250052457,2.00E-05,481.1607601
1.195500739,0.005952712,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.1528286,468.3768441,0.252062352,102071.3232,126.4294751,128.8912249,302580.0004,8615.217035,34.08328753,11.80835414,5.58828098,4.829783736,2.21056682,2.364005112,1660.256228,121.157726,6.154250328,0.240832043,0.209518857,0.294948106,2.01E-05,500.605434
1.196965982,0.005935746,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.2405,469.7920556,0.252574162,102071.3232,125.8522319,128.3350924,300472.2864,8558.142043,32.46843155,11.82374647,5.418309645,4.834053915,2.173065866,2.358951245,1723.849739,142.3571364,6.147541523,0.239534315,0.200121483,0.293355435,2.01E-05,501.4984303
1.199645936,0.006480708,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.6809917,573.1913223,0.231748139,102071.3232,105.8783721,100.0064151,293215.1528,7249.589019,82.65429236,10.03963325,0.568172757,4,2.169667774,2.185039813,509.4943522,100.1377292,5.506594684,0.200272772,0.128918605,0.250131251,2.02E-05,459.9402571
1.240922069,0.006575817,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.3282392,466.8547619,0.238367546,102071.3232,126.0488105,128.5202124,295877.134,8496.603733,12.01197115,11.68758264,8.081387512,4.778337769,1.309541391,2.341479955,3933.29848,123.1993219,6.695611412,0.238497894,0.205788124,0.292062658,2.03E-05,469.8210577
1.248079701,0.006615703,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.42,458.7746944,0.351396152,101724.686,119.2462286,147.9337237,310685.2041,15746.26682,10.63784041,14.79619753,4.829898172,5.945021704,1.224367692,2.960965494,4781.269629,236.8735595,6.745219236,0.392152553,0.202314003,0.369785617,2.03E-05,691.7740428
1.249713149,0.007227646,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,298.032648,546.0097588,0.219125106,102071.3232,116.9774602,146.5313808,310569.2528,15583.96066,19.03072803,14.6667344,2.383021241,5.858984558,1.607152616,3.208561802,3045.12172,186.9911159,6.46238031,0.381356046,0.160998931,0.366269736,2.03E-05,431.262059
1.266902139,0.007100537,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.2988468,466.9600769,0.233554092,102071.3232,126.0488105,128.5202124,295877.134,8496.626209,12.01197115,11.68758264,8.081387512,4.778337769,1.309541391,2.341479955,3933.29848,123.1993219,6.695611412,0.238497894,0.205788124,0.292062658,2.04E-05,458.3479124
1.270049456,0.006945996,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.3016611,466.1780731,0.233071336,102071.3232,138.5618711,140.8437193,310373.3406,10760.9716,5.889412016,12.15538264,10.71066513,4.946621178,0.973795829,2.432747482,6312.271538,192.8757215,7.751133515,0.584825357,0.230032388,0.303729449,2.04E-05,457.1615903
1.278884841,0.007002995,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.4,455.640429,0.232921084,102071.3232,129.4429688,132.1067954,313249.5025,18840.63567,3.9858301,17.36184052,8.162579866,7.001476096,0.757225483,3.473667272,7856.56925,418.2626532,7.437236803,0.487437878,0.278251026,0.434207432,2.04E-05,456.1979386
1.299162934,0.008193924,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.26,452.5438291,0.295574485,101724.686,125.8313937,153.0114344,319036.176,16578.76808,4.020669248,15.30044279,4.575276903,6.182662106,0.674662059,3.062390163,7464.031821,400.107032,7.463516598,0.425683237,0.229448201,0.382522845,2.05E-05,576.9716521
1.299417509,0.008168965,"NH3:0.8, H2:0.2","O2: 0.21, N2: 0.79",0.2,297.8965347,547.8965072,0.203682633,102071.3232,119.62221,148.9518956,312616.6643,15919.51895,6.349635284,14.89223927,2.305069769,5.955737412,0.827275909,3.067468864,6568.562406,298.9277047,7.301279807,0.409788885,0.172205588,0.372340001,2.05E-05,397.5788501
