,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6
0,0.839821143,854,296.7916667,525.3513889,100791.432,0.220838703,0.2,,,-5.6104837564249176e-15,0.7076905373427855,4.972264965770683e-13,2.8235126223908875e-05,-3.2249678555815313e-15,1.5587786000902037e-11,3.4294381549829003e-10,0.26555602745814944,6.739956035797431e-13,5.444969758087104e-07,0.020040723649475713,1.028994808996024e-15,8.057364470272982e-16,7.44817830638035e-16,5.10302457258586e-16,3.8514858088033657e-13,1.028354784949808e-15,2.755872380367773e-16,2.2710533374493266e-16,2.4803025441229336e-16,2.1419386221050176e-16,0.006473120027886742,2.2682548645680128e-07,0.00010897117389682326,3.872687024023086e-08,1.1789028394627993e-15,9.810388941706396e-05,8.399541303307849e-13,7.661468105081026e-15,4.810800614118393e-16,5.054313983822918e-08,1.5836651454029175e-06,2.4540367211779166e-15,1.8367136331378797e-06,-5.621842538639759e-15,-5.6619860626451195e-15,-5.534644071582633e-15,-5.697997833509616e-15
0,0.844207555,870,297.3752087,451.1654702,102071.3232,0.218584564,0.2,,,-5.1219006049151475e-15,0.7080953627829247,2.00632187696729e-14,2.8752181616742717e-05,-5.20025702103785e-15,1.0985937923185656e-12,1.0106024607512183e-11,0.2657364647098441,4.580771706933596e-14,5.697961150068859e-07,0.01944627161035705,3.2064979385978485e-17,1.3173523379160735e-16,1.509749891370032e-16,2.34738339560578e-16,4.320675351659556e-13,3.3444188506968353e-17,4.505562757990816e-16,3.173613598106209e-16,4.467555382551467e-16,3.0397432119194984e-16,0.006477328123395516,2.2685082668005565e-07,0.0001091518328641634,4.3946948666249157e-08,1.1021212907886982e-15,0.0001021429149431015,8.875245208506637e-13,8.389493718425545e-15,7.07436314331859e-16,5.331374186786268e-08,1.6783192509852827e-06,1.6083499890035721e-16,1.953604600253673e-06,-5.306167477859127e-15,-5.051474500794276e-15,-5.558403515454733e-15,-5.209529108457752e-15
0,0.848866325,878,296.23,450.1562103,101724.686,0.318982182,0.2,,,3.514704952016533e-14,0.7076661363567248,4.62303208519686e-13,5.684588264744541e-05,-7.168550359664649e-14,1.086973599933088e-11,7.860063920362566e-11,0.2684603307972558,4.652482129395576e-13,8.142777956743485e-07,0.01711608469401406,-1.838565595090228e-15,-8.920690129725363e-16,-6.625997290644925e-16,7.483510107154622e-16,1.413850719376962e-12,-1.827982273609212e-15,1.565492907222963e-15,1.0524316076697443e-15,1.9399812582906834e-15,9.176825736215581e-16,0.006462337855711072,2.848417249739315e-07,0.00010341219530567534,1.2549853850340637e-07,1.0665252706268464e-14,0.0001285197200195297,3.741353507334256e-12,4.011375416515428e-14,2.9033849918615285e-15,6.9559400305153e-08,2.2948482583676584e-06,-7.288330661612982e-16,2.7433769336878394e-06,2.2257667944534153e-14,4.492368190120807e-14,-1.9677009450649677e-15,3.4743081974258446e-14
0,0.848939565,878,296.18,449.0567514,101724.686,0.315656733,0.2,,,8.04524785851378e-15,0.7076741877225872,4.063550702804147e-13,5.5874062444552805e-05,-5.493204909217711e-15,9.859336744034543e-12,7.078383125989337e-11,0.26842094362824953,4.155835661877767e-13,8.070663244990277e-07,0.017148630521906072,5.244614999877854e-16,4.733191453865177e-16,4.6255003419706245e-16,3.664710604856549e-16,1.3700540061857191e-12,5.422569191114091e-16,2.234256583503271e-16,1.6349747294195625e-16,1.3578129901998698e-16,1.6252715575544236e-16,0.006462733554127733,2.831676426701145e-07,0.0001035525169733482,1.2242867375603278e-07,9.51280148299166e-15,0.000127798132308788,3.606530170099444e-12,3.6988753270997784e-14,1.2811464338344233e-15,6.91245788164265e-08,2.277325398839312e-06,1.399044307297949e-15,2.7206622616494187e-06,6.372670667390287e-15,8.747752023387094e-15,3.2956129051314915e-15,7.472063229215683e-15
0,0.897572689,874,297.4063742,459.1995861,102071.3232,0.228677644,0.2,,,1.6770399056315623e-14,0.7048697221145129,4.58820185442963e-12,8.832774676934226e-05,-6.3544381647008556e-15,1.1419434866310907e-11,1.1244443113519454e-10,0.27826347803031987,2.354544869815971e-12,7.630004841208747e-07,0.010232735150653203,1.0231698237131086e-14,8.587382760729014e-15,8.262622364515808e-15,6.773829454517861e-15,3.5043021936435088e-12,1.025678469153569e-14,6.997388709059083e-15,8.455879215375776e-15,6.375049500518051e-15,8.25912043482362e-15,0.00634651099792883,2.228025314769446e-07,6.988873306386363e-05,3.3856349933537255e-07,5.588940757540502e-14,0.00012461402497779758,1.7701107539755593e-11,1.9096963588810295e-13,1.0454952952418962e-14,6.63702710882317e-08,1.5070104002677206e-06,1.0635776282365527e-14,1.8253021539804324e-06,1.6401816696277592e-14,1.87667955604885e-14,1.5272949048951823e-14,1.9173871604369332e-14
0,0.899079042,862,298.1940692,548.6305601,102071.3232,0.223356906,0.2,,,-1.4822003033807148e-14,0.7038972547152602,8.106740093913673e-11,8.939198214743535e-05,-1.4490332013649048e-14,1.590305925319366e-10,3.3497425430246664e-09,0.2794866928351991,3.001311186388722e-11,7.186968094851541e-07,0.010005384757639822,-7.594507522380249e-16,-3.5154214981339717e-16,-2.5542564205126184e-16,-2.7574936049341417e-17,3.28367198339655e-12,-7.420257844085863e-16,6.985398606828049e-16,9.867372389601675e-17,5.433790245742423e-16,2.130682148728364e-16,0.006331500811447573,2.1722042575438876e-07,6.764466393451492e-05,3.178081268090155e-07,5.6460452987036226e-14,0.00011786360291696133,1.7479546464732486e-11,1.7698065713179768e-13,4.194022653522948e-15,6.198065673923286e-08,1.3378148890740108e-06,8.867714528353298e-15,1.609469772864555e-06,-1.5576429553701312e-14,-1.3990310892709589e-14,-1.6309264017610495e-14,-1.469546431505244e-14
0,0.900395628,872,295.6,458.2683521,101724.686,0.33755166,0.2,,,9.364138640236089e-15,0.7045167603221683,1.5743471957831367e-10,0.00018401411991228386,8.484050315575401e-15,1.0115586259576893e-10,1.1340164606903665e-09,0.2806673361513138,5.949338332308664e-11,9.96364548208655e-07,0.00815270927718432,-9.201687293526443e-16,-7.922432186401716e-16,-7.686513128401715e-16,-6.103894646561484e-16,1.8327587342457326e-11,-9.171125751187265e-16,7.695919437148466e-16,-5.086715316058583e-16,-3.0682168633925144e-16,-3.975202593234777e-16,0.006265133020717758,2.652899522220993e-07,5.229706831921739e-05,1.2688318155660072e-06,8.905104219025959e-13,0.00015534489129057275,1.2946161902165788e-10,1.8795658369570022e-12,4.131836778761616e-14,8.340980763040533e-08,1.6722063511121678e-06,3.799058093606735e-15,2.117443863366878e-06,9.333021310810577e-15,9.435132612468178e-15,9.216798317393984e-15,9.416571616962473e-15
0,0.945390252,809,297.6387974,473.2779517,102071.3232,0.240919822,0.2,,,2.614184567406052e-16,0.701952461513219,1.4517527891885365e-08,0.0005756324759795817,1.2880420562081756e-16,9.638227160179363e-11,9.7709524706842e-09,0.2890915264230081,1.5190056844999526e-09,5.237762219479625e-07,0.002347599243841773,7.720349054768302e-16,7.018509607354275e-16,7.230833060314453e-16,8.98534291557095e-14,4.4766998606313957e-10,8.790218533231645e-16,4.6377560113886656e-15,4.518235594614168e-16,5.379900977568235e-16,4.0334501670721545e-16,0.005888893963808417,4.155411251872181e-07,1.1628400333565702e-05,1.1806444125318362e-05,3.254058740606342e-11,0.0001186858000239776,4.5453402240902585e-09,8.674290691268318e-11,4.205481051645379e-12,5.974334520131925e-08,3.09367897222719e-07,2.2917497260779503e-15,4.262866002514352e-07,2.5407654566459836e-16,3.2200367490587473e-16,2.438721525723979e-16,3.409262227229238e-16
0,0.952058541,805,297.607429,473.207429,102071.3232,0.240061319,0.2,,,-3.2445003660759326e-15,0.701527653392544,3.3151719196424443e-08,0.0008650984013086983,-2.9448934265717815e-15,7.652798912743669e-11,1.2820186953058389e-08,0.2901634799573504,2.26776784553321e-09,3.574417023024933e-07,0.0015206440518623105,3.7689773506550714e-16,4.1377731110769687e-16,5.933186832732885e-16,3.7626679410272164e-13,1.0905183457296236e-09,6.565279271660335e-16,6.328215025546279e-15,4.210334272573092e-16,1.1085883806617054e-15,7.703451227581676e-16,0.005800801182451153,5.744534278802773e-07,7.17866373397785e-06,1.8455130638963255e-05,6.79746967556131e-11,9.528329518542767e-05,8.536778694700541e-09,1.796619466976785e-10,1.222496060326507e-11,4.7559884245998677e-08,1.5123668713297787e-07,1.24108008619722e-15,2.1702949428256942e-07,-3.2410551411474356e-15,-3.300383658203677e-15,-3.2178731624116265e-15,-3.3135923234725916e-15
0,0.996763145,811,296.3717138,475.1408209,102071.3232,0.254314918,0.2,,,-3.004083430900405e-14,0.6975604436890904,1.424368985024965e-07,0.007147498855260076,-3.255941235458894e-14,2.7517908037946886e-12,1.0707017663728106e-09,0.29031134564213656,2.441569799444418e-10,8.089431958523989e-09,3.301174953933301e-05,1.106160624734955e-15,1.7165907394643112e-15,3.873344924680816e-15,3.2553849857421114e-12,1.931005180441574e-08,2.583776908514962e-15,7.909708231454465e-15,2.1836496968387286e-15,-2.8588349461672276e-15,1.2104344180781315e-16,0.004908830650555512,1.1229506416645074e-06,1.529141594484552e-07,3.158507116005168e-05,1.9244495118932603e-10,5.8165092523859745e-06,1.643818317142529e-08,4.0330400259990826e-10,5.1990085810901805e-11,3.159242331118439e-09,1.536735048799001e-10,1.2592741933149064e-15,4.1228192380016515e-10,-3.0163474346655686e-14,-2.9230643050784186e-14,-3.037707534957675e-14,-2.8987441264812785e-14
0,0.999111065,805,298.2481697,583.5586522,102071.3232,0.234516706,0.2,,,1.0199793818250683e-14,0.6959509266611174,7.450737861779776e-07,0.007592124376438033,9.643285261564192e-15,3.185010021558953e-11,4.9834669559946406e-09,0.291523848816943,7.615646057032533e-10,6.4439032112627905e-09,2.785056857747834e-05,7.070415604733956e-15,5.959655208564782e-15,5.206600554513197e-14,1.545342846051874e-11,1.897122106650343e-08,2.8183821765740685e-14,7.142581543677746e-15,4.673216021731459e-15,-9.827585076746277e-15,9.899101862897841e-16,0.004873615967423505,1.0826041325187873e-06,1.150104782229847e-07,2.4659299548236563e-05,1.4081652775591296e-10,4.985984982490465e-06,1.0861839794526973e-08,3.4470567341405665e-10,3.117579895476473e-11,2.682484237705145e-09,1.0267182862529434e-10,6.782489739022547e-15,2.65256003560165e-10,1.0228621870267135e-14,1.0271818787679546e-14,1.0220607895912616e-14,1.0273272795808265e-14
0,1.000031381,818,296.399322,475.3188136,102071.3232,0.254376387,0.2,,,1.910030094723801e-15,0.6972333961177742,1.4676092402445682e-07,0.007727360408880339,1.3845364538688039e-15,2.3109161531896838e-12,9.007130670568057e-10,0.29014604093048585,2.0614493450149677e-10,6.789217438465573e-09,2.664512058137052e-05,-3.016904119980467e-16,-3.7452517947438264e-16,1.8087011351761934e-15,3.3285351217005776e-12,2.203887022287169e-08,1.200536673423342e-15,1.020496842681576e-14,-4.2631062019498276e-16,1.2447672982292865e-15,2.6047733982836604e-15,0.00482866851502812,1.1140072595907009e-06,1.2428151640854683e-07,3.130918237465261e-05,1.9292266040385835e-10,5.144726206146807e-06,1.6136795488000776e-08,3.9920115672051515e-10,5.137156358426021e-11,2.8017214813554257e-09,1.1132253014977751e-10,-3.19105744596837e-16,3.1502313164619106e-10,1.794636944104996e-15,1.9705499671996598e-15,1.6302964217004713e-15,1.8747654216606638e-15
0,1.001906974,826,296.91,478.6992424,101724.686,0.38755084,0.2,,,-4.851792071704594e-16,0.6964198266606516,4.398354411029616e-07,0.009768495447614533,-1.1905157082090409e-15,8.843330809219229e-12,2.4009847686427294e-09,0.2891112701780006,5.699985593978361e-10,7.509036337653134e-09,2.4186498248720248e-05,-1.404460524659197e-16,-1.0817235769867755e-16,1.18560901606549e-14,8.45958301926543e-12,3.271664040825562e-08,4.22665801218694e-15,1.6121426130191004e-14,-8.086455057754361e-17,3.424411944533718e-15,4.169094053472461e-15,0.004629092752451159,1.2415694886203298e-06,1.2469023967823946e-07,3.984458856672766e-05,4.3459359108208104e-10,5.413993463764321e-06,1.5944856707183786e-08,5.675958783608375e-10,6.504823684207476e-11,2.9802030242167582e-09,1.3519550300412324e-10,-1.3355551120048758e-16,4.443420817922925e-10,-6.4572693521246105e-16,-3.5422786364412094e-16,-9.057112022100268e-16,-4.765832735226165e-16
0,1.044810754,868,297.2,477.8405844,101724.686,0.399093947,0.2,,,-8.806668104430528e-15,0.6921215845619931,8.38407013135727e-07,0.017654237857158972,-7.586948992250186e-15,4.072178340000473e-12,9.929921449582394e-10,0.28681110357255085,2.597444003287957e-10,2.3390767584575027e-09,4.240179370605748e-06,-1.0842282658176015e-15,-7.108859440687885e-16,2.431250125413398e-14,1.0913466631201672e-11,1.034711953257e-07,5.686839990081668e-15,1.638250608143809e-14,-7.249100431196604e-16,3.551085287555383e-15,3.086376446540035e-15,0.003366981589542952,1.0035523031702586e-06,2.489872040734557e-08,3.7684711630391144e-05,5.603188582189051e-10,2.1791610182338477e-06,1.1972570670165722e-08,5.473460258487175e-10,5.582886212313101e-11,1.1884842977021985e-09,1.6587523917607382e-11,-9.580204095503835e-16,8.956993270077777e-11,-8.74797429219996e-15,-8.866887736808606e-15,-8.60195562043649e-15,-8.843941006928563e-15
0,1.046331769,865,297.21,478.03134,101724.686,0.403496421,0.2,,,9.038566821549046e-16,0.6919506288893437,8.887233188750607e-07,0.017979482211461333,9.334819259078077e-16,4.256288712496373e-12,1.0168725347158652e-09,0.2867096701777213,2.6783144231974003e-10,2.2926438613405408e-09,4.066880977089778e-06,9.396049448154444e-16,8.847774552243116e-16,2.7709857998357115e-14,1.1178142353423273e-11,1.073059477901647e-07,8.066135002996505e-15,1.8220465477311532e-14,8.896206538417338e-16,4.483630751559069e-15,4.625165435843298e-15,0.0033141775923765963,9.95182487793789e-07,2.4035973047435164e-08,3.780786544728664e-05,5.778554497192188e-10,2.1332744007499433e-06,1.1818062645441736e-08,5.504970242846559e-10,5.555770640962928e-11,1.1612094479330187e-09,1.6084330004092993e-11,9.277771132731458e-16,8.84240799550001e-11,8.893011580007987e-16,8.952176614628583e-16,8.790735476107795e-16,8.885679982812602e-16
0,1.047787107,843,296.7077371,476.0605935,102071.3232,0.263371804,0.2,,,-8.256307547183539e-16,0.6923323847184117,3.212781132961572e-07,0.016691863721559643,-1.1932311715539456e-15,7.854216516712962e-13,2.9040195269338295e-10,0.28748403408077244,6.894751434255651e-11,1.4998522790555287e-09,2.957444438467462e-06,-2.858458348773256e-16,-1.7830318857797904e-16,6.706479810444018e-15,5.907709033003832e-12,1.0733642997712823e-07,2.484061586691323e-15,1.1366233261754453e-14,-1.4572762119994425e-16,2.0216470840200026e-15,2.91881930551731e-15,0.003456047443811458,9.160376200530697e-07,1.6495699397079577e-08,2.961028721749725e-05,2.6461584527120395e-10,1.7258315455966066e-06,1.1763738188342006e-08,3.997260626947525e-10,4.6408954807345624e-11,9.379224431365257e-10,7.889973503745104e-12,-2.586558068729726e-16,3.816518589932096e-11,-9.2918140226142e-16,-7.421192269986349e-16,-1.0796731416824984e-15,-8.285444116060247e-16
