,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,strain_t1,strain_t2,AR,N2,HE,H2,H,O2,O,H2O,OH,H2O2,HO2,NO,N2O,NO2,HNO,HNO2,HONO,HONO2,N2H2,H2NN,NH2OH,HNOH,NH3,N2H4,N,NO3,NH,NNH,NH2,H2NO,N2H3
0,0.900337992,1067,296.5417355,537.3706612,101325,0.372337488,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",41.1924741476239,37.2337488,1.8511634790102262e-16,0.7016516294051913,1.8007395750721922e-16,0.00013313542276494219,3.398484973624864e-09,0.01023351443329764,3.638089409322824e-10,0.28145839478253937,5.328412093222695e-07,1.011773734272064e-06,1.0678755640861621e-09,0.0063137557215296606,3.534252712862523e-07,8.552821878428157e-05,9.288162195596574e-07,6.565559766613832e-07,0.00011401011765965857,6.543393209741288e-06,4.550775917672852e-16,-1.3167155699499644e-16,5.933181375479647e-14,2.7579489135767696e-12,3.561080336293909e-11,-1.0817981781269133e-16,1.6830054971291003e-17,2.380417306183344e-12,1.943888988232471e-16,3.539154965077605e-16,2.25130318407097e-15,2.2163111764000772e-10,-1.3955783423321585e-16
0,0.95007358,1050,295.0202479,550.9841598,101325,0.398799619,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",44.846964999417196,39.8799619,-2.516650016647852e-15,0.6982460945215452,-2.298816108966253e-15,0.0009192234969464379,1.8095033409506457e-06,0.0019411445498628752,4.57947988590722e-09,0.2927656552487016,3.5492993417596857e-06,7.159542201284158e-07,9.31770242302352e-08,0.005963960204884602,1.190105508343346e-06,1.3697076108726244e-05,1.1025280872029628e-05,3.380001409234942e-07,0.00012980000431484293,1.691018638688772e-06,1.0578589939424247e-14,1.3057578897583979e-15,6.353507224667116e-12,1.44538607654195e-10,1.1125979237393354e-09,1.6774647177276092e-16,-1.163890307309248e-16,3.976521995082746e-12,6.794371503318378e-15,6.126919495112651e-14,2.105431384069578e-11,6.690472771207197e-09,-1.222945938849046e-16
0,0.999448041,1018,296.4640496,565.4217631,101325,0.425686055,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",48.21879673659487,42.5686055,6.811073590846736e-17,0.6931997003541323,7.067361145740619e-16,0.0081711301708644,1.299995940151745e-05,3.7213529692059404e-05,1.7130259051609169e-10,0.2932035925627937,2.204317700583626e-07,1.2919439301937604e-08,1.2931635368686283e-08,0.005347720096697938,1.3827019221874034e-06,1.7704603818485614e-07,1.453180353063324e-05,4.7721491130195085e-09,1.1275183855489684e-05,1.0947528143979304e-09,1.538325942775045e-14,2.7272324047789966e-15,3.5789528452089758e-12,2.453696495576549e-10,1.7515600974339777e-08,3.367850160100104e-15,-5.746014410181876e-16,-1.1717925864198733e-15,1.168181304379492e-13,5.058770669722693e-13,1.6161873513624412e-10,6.343211707424058e-09,-7.845309399180328e-16
0,1.000334135,1023,294.1818182,542.9409091,101325,0.424488397,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",48.213855790465004,42.4488397,7.548771241741767e-16,0.6933959226624675,7.879711416478803e-16,0.008315110435727194,1.0828337551338415e-05,3.488646246795016e-05,9.100081714454581e-11,0.29289669056029255,1.8665997368199616e-07,1.2459544418894105e-08,1.096477646783444e-08,0.00531751382908852,1.3689636840535703e-06,1.773271677515286e-07,1.6084868954508257e-05,4.971232568718245e-09,1.1173902355495368e-05,1.0917745304337143e-09,1.6435519092134706e-14,6.1256850122294515e-15,3.654422489617468e-12,2.6283489147828413e-10,1.8469146313978423e-08,6.734393572156778e-15,1.1427492121366935e-15,9.888998965253353e-16,5.6753575390385936e-14,3.394837289604498e-13,1.519301865601819e-10,7.523945100343865e-09,9.156512507096224e-16
0,1.050238003,1025,295.0607438,576.8528926,101325,0.443660114,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",50.572046275734465,44.3660114,-5.250499941272419e-14,0.6869521202670127,-5.4697355888109016e-14,0.018683551221475934,1.761602354158227e-05,3.6217537092526973e-06,3.8719870308727456e-11,0.29003756305007566,3.068959689390998e-08,2.270779842297746e-09,1.9678645940815294e-09,0.004289620308666555,1.11198082643689e-06,1.7352614132234803e-08,1.1519341416074834e-05,8.185713250754543e-10,3.1388216586983095e-06,3.455377841032001e-11,1.3313052741603013e-14,-2.0402950489264965e-15,2.5814820222019953e-12,2.0031519160542327e-10,7.914242127161418e-08,2.390135592187928e-15,-5.407079500694206e-15,-9.11929093563329e-15,2.1455258311682768e-13,7.413215188276379e-13,1.988606208405444e-10,4.513901825500475e-09,-1.154594899029725e-14
0,1.1002915,1016,293.8896694,573.3909091,101325,0.44290155,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",50.49522136176665,44.290155,-1.066363600611001e-14,0.6811459250401445,-1.0721258839255086e-14,0.028965662077343038,2.5237798263610794e-05,9.005992641894811e-07,2.6511796685306817e-11,0.2868333719466863,1.5066275483635794e-08,8.765978125339295e-10,9.219231754789784e-10,0.0030174450053237693,8.368613570263419e-07,4.4934208904584926e-09,8.909117834545609e-06,2.5148191330079364e-10,1.491102270664166e-06,8.279693492997107e-12,1.529771948256988e-14,-2.9605926758541436e-15,2.9536949104335765e-12,1.5805530800018844e-10,1.9507437300794548e-07,8.10684530908871e-15,2.546783792863586e-15,-8.611559468902845e-15,3.4075894379887934e-13,1.0176880577808853e-12,2.8654431706174707e-10,3.2837552504989615e-09,-1.1341980929018e-14
0,1.149936747,954,295.1190083,583.3253444,101325,0.428861124,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",48.543375489645314,42.886112399999995,-8.57818217768115e-15,0.6752068324126415,-7.687099029225105e-15,0.03913497618475082,4.399668447223487e-05,2.904325996209642e-07,5.0103833920786125e-11,0.28385828120320217,1.4270285016292313e-08,4.0165243958247983e-10,6.615589175462553e-10,0.001748674246791105,5.406791580796399e-07,1.291505947170633e-09,5.3179698731581165e-06,7.115849467161053e-11,6.974002823824811e-07,3.194786500678266e-12,2.760013214056307e-14,1.0164159924191254e-16,3.6005609685875807e-12,9.793600011922421e-11,3.7360816682365117e-07,2.3882726798352135e-14,9.095435573366711e-14,-3.172013797924951e-15,1.0065202346940864e-12,1.931690173482216e-12,4.626359260827963e-10,1.8613727326608228e-09,-4.197021085913678e-15
0,1.200536831,969,294.5615702,574.6822314,101325,0.404347238,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",45.3885732869162,40.4347238,1.0297707513501804e-14,0.6697896362645223,8.264119880631164e-15,0.048839240704197394,7.982266652280756e-05,7.379520585615708e-08,2.246265612166125e-10,0.28078735651811876,1.3851695185110894e-08,1.7060136705177303e-10,3.9043998464644805e-10,0.0004837191157719665,1.6612177800798369e-06,1.757405003432266e-10,1.691246784235042e-06,8.8182119405068e-12,1.6112562566818064e-07,7.64199426824763e-13,5.16277220498272e-14,8.547381737160579e-15,1.0427587685794356e-10,3.1685108666579105e-11,1.6619724486885683e-05,8.093916814788108e-12,7.214647264674431e-12,3.870781452272195e-15,9.223393672946972e-12,3.1970512959311373e-12,2.0331144277163073e-09,6.014078702680052e-10,2.8484440917559742e-15
0,1.250565414,948,294.6285124,566.4768595,101325,0.379999828,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",42.17423121876436,37.9999828,-4.56095910694732e-15,0.6639724476692483,-4.321071050319454e-15,0.05661605424565883,5.3577874237604434e-05,2.8630349622076158e-08,1.627875447595889e-07,0.27751920736821256,1.3810348143699091e-08,8.293748832246374e-11,1.947451838734024e-10,4.166186782777907e-06,7.619149566596439e-06,1.3654405258706591e-10,1.6204427294191508e-08,1.1275891969442074e-13,1.806994645016726e-09,7.4870335135867e-14,2.4889627102880085e-09,8.900650818608316e-11,6.216029986998724e-09,6.80581282526974e-12,0.0018236184839547293,1.2520850760661954e-07,2.474466552434165e-06,1.2922218214051794e-15,3.748676495559355e-08,2.0209007585169832e-12,4.393874114660625e-07,1.5508510959992683e-11,6.967757215978667e-13
0,1.299725738,933,294.811157,536.1353994,101325,0.355182715,0.3,"NH3:0.7, H2:0.3","O2: 0.21, N2: 0.79",38.83005428179058,35.5182715,3.2741552153894015e-15,0.6585915310551919,2.5604481583621204e-15,0.06211641103762204,2.983163123526983e-05,1.490798310825747e-08,7.144096902523462e-08,0.27413010605709753,3.956641739736017e-09,4.7432540551881725e-11,1.0986975997951326e-10,8.654855797710179e-07,4.617328736445507e-06,2.455064751636155e-11,5.298958729853431e-09,3.359835690074003e-14,4.21354440155137e-10,7.018943912033769e-15,1.3358775665401502e-08,5.374936311784803e-10,8.862456055876183e-09,7.795994569827146e-12,0.005120508788248888,6.196967095768644e-07,4.5392704398634e-06,-4.090508999438529e-17,6.38112866954044e-08,9.434088168633527e-13,7.868459699988563e-07,1.4788555283915794e-11,1.8220950647027667e-12
