,phi,grid,T_in,T,P,vel,blend,fuel,oxidizer,AR,N2,H,H2,HE,O,OH,H2O,HO2,H2O2,O2,OH*,N,NH,NH2,NH3,NNH,N2H2,N2H3,N2H4,H2NN,NO,N2O,NO2,HNO,HON,HONO,H2NO,HNOH,NH2OH,HNO2,HONO2,NO3,HNO3,CO,CO2,CH4,C2H6
0,0.95007358,987,295.0202479339,550.9841597796,101325.0,0.3987996189,0.3,,,8.825471245084114e-17,0.6972007861043986,5.893793239852512e-07,0.001431968617491473,1.532478090940623e-16,1.7458249554122508e-09,1.6570144317075179e-07,0.29260123190630927,2.003639779710274e-08,3.068323445002651e-07,0.001268518736221519,2.7999141421808874e-16,2.9363463546409565e-16,1.903808870432313e-14,8.151094926162953e-12,2.304165933191919e-09,1.2797072764013151e-14,1.0537760191112724e-14,2.950673118204475e-16,2.5138620140957345e-15,1.5449259676441294e-15,0.007361119376234786,9.167607356038376e-07,5.904638718330274e-06,2.999215872350911e-05,2.5939224898537614e-10,9.814548630385307e-05,1.1426633475443677e-08,3.877984530487101e-10,2.2612192558719564e-11,5.172629219171389e-08,1.068279493243495e-07,1.038189875630802e-14,1.5955647513558862e-07,8.957085408411494e-17,8.18019760567946e-17,9.980161811040533e-17,8.684005125188465e-17
0,0.9994480409,980,296.4640495868,565.4217630854,101325.0,0.4256860549,0.3,,,1.7958251781470966e-15,0.6921242443485586,1.5087629771761868e-06,0.009348558026705766,1.2678830051966014e-15,7.43026699284556e-11,9.359744319342236e-09,0.2921112650898236,1.4591408342044608e-09,8.725449012773807e-09,3.29374950866932e-05,-8.496057913889836e-16,-7.464115246494047e-16,9.68495711877903e-14,2.8861141653070936e-11,2.5933255031426818e-08,3.6812803541177416e-14,1.3965819711341478e-14,-6.943781645874375e-16,2.5127838083189002e-15,2.8948088334121784e-15,0.00633511593455392,1.4460125218056626e-06,1.4564585886762976e-07,3.790701116144702e-05,4.2887682710531145e-10,6.806339105373991e-06,1.411665543238918e-08,5.917326300826771e-10,4.905899109681768e-11,3.9884195735670105e-09,1.5234630662985194e-10,-8.064477154466e-16,4.256442436123756e-10,1.6539563291374043e-15,1.79351924485074e-15,1.4360603004750746e-15,1.6427593022198574e-15
0,1.0003341351,975,294.1818181818,542.9409090909,101325.0,0.4244883971,0.3,,,-1.5387923725403761e-15,0.6923795201898796,1.1148378805327861e-06,0.00941248693907174,-1.5757519879288927e-15,4.376467354607679e-11,6.591284615804371e-09,0.29183114091238854,1.1232076811643482e-09,8.5628263779352e-09,3.175301080203224e-05,-5.306502986611916e-17,-1.1310742250296683e-16,5.297635671707529e-14,2.2092792205916924e-11,2.7036841579002938e-08,2.2760193284791613e-14,1.4758724655211505e-14,-1.53314806386107e-16,2.3268160648769994e-15,3.574485593492302e-15,0.006295552497527342,1.4439065042950683e-06,1.4508636936151045e-07,4.007926577606787e-05,4.5126222595584317e-10,6.69877003096334e-06,1.5599130575743092e-08,6.024606574444985e-10,5.4942488711885524e-11,3.925437901456461e-09,1.4726432272135838e-10,-6.743860189406238e-17,4.231668283696836e-10,-1.550156614509416e-15,-1.5242284813661302e-15,-1.5455790674157476e-15,-1.5256057066628842e-15
0,1.0502380028,951,295.0607438017,576.852892562,101325.0,0.4436601141,0.3,,,1.4667571291651384e-15,0.6862030100722721,2.5876996083138516e-06,0.019540824425374945,1.7521988503598022e-15,2.0455195809615366e-11,2.806976012832742e-09,0.2893198929939049,3.853224310497929e-10,1.973887833534111e-09,4.1225060408211085e-06,3.904625882366136e-16,3.0868486246647684e-16,2.386712315446412e-13,4.352679334680321e-11,1.1076652379338435e-07,6.796884040282348e-14,1.4846799319524983e-14,2.815656894041122e-16,2.132931161545506e-15,3.129992292511796e-15,0.004892993563257726,1.2523026770404428e-06,2.044293706179899e-08,3.276859007826063e-05,4.663902279898845e-10,2.3988717708357965e-06,1.0007749623871697e-08,5.555505863462716e-10,3.9448881845952976e-11,1.4040024527543045e-09,1.1574296104600837e-11,3.401713516408389e-16,5.033246216795095e-11,1.4668536598201798e-15,1.4823880096518512e-15,1.4768848182727042e-15,1.4870760785896794e-15
0,1.1002915003,872,293.8896694215,573.3909090909,101325.0,0.4429015503,0.3,,,-1.4377403907213592e-14,0.6806166949451233,4.494555550183849e-06,0.029557168070102464,-6.869869765272362e-14,1.3714410159810826e-11,2.0300150838730044e-09,0.28642515962057297,2.665028498238592e-10,9.37028842136963e-10,1.1487078616680379e-06,-8.022521750543873e-15,-4.996915952438455e-15,4.742751164719954e-13,6.027678416961312e-11,2.817713316475982e-07,9.898028170997243e-14,1.1479188764422811e-14,-6.129799054876815e-15,4.357264653571625e-15,-1.401704020142891e-15,0.0033643538041576828,9.746373312808835e-07,6.4485048722070835e-09,2.8426487042523575e-05,5.754337144066121e-10,1.2787036892462446e-06,7.071932990911666e-09,5.225148457025771e-10,3.102165277955506e-11,7.147003936035396e-10,3.872997156124243e-12,-6.609248944898552e-15,2.1330293934350763e-11,-2.3655310697434718e-14,-9.429757289644244e-15,-4.1320765366160185e-14,-1.7381457584356825e-14
0,1.1499367472,829,295.1190082645,583.3253443526,101325.0,0.4288611242,0.3,,,5.610376640574453e-15,0.6748044859918709,1.0072266180722815e-05,0.03956003669836617,3.322039435298413e-15,2.115087006271693e-11,2.7777358807501732e-09,0.28360581426597276,3.129391228441973e-10,5.179620256969061e-10,4.0300301532643504e-07,2.0394820678508215e-17,1.606613813760629e-15,1.1871242665264968e-12,8.000992795754852e-11,5.486518167422016e-07,2.5097262580593053e-13,1.9174039331479198e-14,2.9095193023465205e-17,7.120420210439077e-15,1.3919585380938104e-15,0.00199696884232446,6.508601253979784e-07,2.306748670897731e-09,2.0326661816809764e-05,6.412633088059901e-10,6.810674228726998e-07,4.247293616156083e-09,4.0748486951417424e-10,1.7542883006159043e-11,3.452766646518361e-10,1.914184299063995e-12,3.005132962318981e-17,1.2268801345447695e-11,5.215079166289369e-15,5.91268700383351e-15,4.526600609630388e-15,5.587553097525423e-15
0,1.2005368311,773,294.5615702479,574.682231405,101325.0,0.4043472383,0.3,,,-2.137494882358446e-16,0.6693819005555758,2.3734528843661503e-05,0.049318455537656056,-1.3241626108423604e-16,4.5352454994243526e-11,3.6538772095486385e-09,0.2804760319444784,3.78101876885896e-10,2.54965852760045e-10,1.2026554477833832e-07,-4.926647673393658e-16,1.0176174196719845e-14,1.0561031582789906e-12,4.5436546100909634e-11,3.450471669747774e-06,5.225722730599702e-13,2.6888548243101847e-14,-5.09290873805685e-16,4.5214834673610124e-14,-1.9083714348680569e-16,0.0007848570954710387,3.558943784384433e-07,5.336664593087203e-10,1.0840300164623647e-05,6.096861013006027e-10,2.454486792712488e-07,2.0937595490154254e-09,2.1791389553188676e-10,1.933715138739585e-11,9.722826120574516e-11,7.71788341712032e-13,-5.821737827242104e-16,5.7829448349688854e-12,-2.1178337386011066e-16,-2.322360494870125e-16,-1.9572333621021113e-16,-2.354376377472467e-16
0,1.2505654135,778,294.6285123967,566.4768595041,101325.0,0.3799998282,0.3,,,-1.2038640521761228e-14,0.6638063487145616,4.936942517826762e-05,0.05778728687607809,-1.2273902592401053e-14,2.4292135248871027e-09,4.2984769928400476e-09,0.27722541832977793,1.9924405304234483e-10,9.300422701640172e-11,2.5312404620960355e-08,1.892399870538335e-15,2.0171880658781217e-10,1.200504538014244e-13,2.1560710681582693e-10,0.001067839394361991,9.819697266348277e-13,1.322513955634263e-12,1.2648871509326594e-13,2.3352700335122923e-09,1.1146436478576366e-15,5.7446009949533126e-05,5.235651206053283e-06,2.920981121345127e-11,1.0022878499553577e-06,8.596951549115782e-11,1.4920543781068366e-08,1.9628448264489705e-10,2.2611969501464442e-11,2.9646909306670085e-09,3.9745737663482084e-12,5.741353371910506e-14,-8.02387785287377e-16,2.7472570502111407e-13,-1.2249900204589825e-14,-1.1943751131215006e-14,-1.253354621893786e-14,-1.2151116617810794e-14
0,1.2997257378,759,294.8111570248,536.135399449,101325.0,0.3551827151,0.3,,,-2.9578634236529645e-15,0.6585246882711768,2.5503854965099805e-05,0.06360902533256503,-2.907402332671148e-15,8.636025602650292e-09,1.0646558820543206e-09,0.27383495194482343,1.2943742406411522e-10,4.943871434666094e-11,1.477340502544561e-08,-9.313993324606367e-16,6.577227719555878e-09,1.64259647914853e-14,1.9843216124958371e-10,0.003988361225866104,3.5124674991343627e-13,4.0031716657615035e-11,6.413467112436486e-13,2.1150536007002064e-08,1.3476469598033246e-14,1.3866499916938238e-05,3.2506412630728475e-06,2.910524308165086e-11,2.913359590519452e-07,1.8231210099070904e-11,2.6480815044579645e-09,6.024296167851559e-11,9.992851740781785e-12,5.506710565374164e-09,8.419669901828486e-13,8.263220869483861e-15,-9.792621815888912e-16,5.68043620565829e-14,-2.9524428934990333e-15,-2.9311729331233738e-15,-2.9626304953973896e-15,-2.9485172051693437e-15
0,1.3510737991,731,295.0409090909,517.6997245179,101325.0,0.3297208426,0.3,,,4.217361360417623e-15,0.6527113068590028,1.4410861594324773e-05,0.06865047872533606,2.519389899641471e-15,7.2315559801905966e-09,3.7092817722885105e-10,0.2706197133048696,2.1875157801357423e-10,2.9689023144204614e-11,2.4085790835917748e-08,3.489139881928201e-16,1.2965964046954309e-08,8.281646299309585e-15,1.609788561004284e-10,0.007995701423309751,1.5775792927062684e-13,2.128598999468722e-10,1.151369760604909e-12,5.6673433625697735e-08,3.4371763910602345e-14,6.233658164277392e-06,1.9038133396092946e-06,2.0997805247973126e-11,1.4229792171215137e-07,6.741566714134296e-12,8.867705905688139e-10,3.40631886641311e-11,7.690600329072077e-12,6.148497975714178e-09,3.216872814331167e-13,2.8293547346692358e-15,4.4059005987332453e-16,4.850564140385845e-14,3.908646839233906e-15,4.400402011829166e-15,3.3801523126604826e-15,4.1493976578946016e-15
