,Book number,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in C,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
8,22,0.101351384,0.004241591,0.951267326,0.780285929,"NH3:0.219714071, H2: 0.780285929","""O2: 0.21, N2: 0.79""",0.1,25.72090909,298.8709091,0.864717853,665.2578788,84258.36485,2566.992595,517.6300375,81.81919116,193552.8477,8996.296822,6927.310899,265.0082923,62.16542255,16.08260655,1.295732313,15.92198557,0.892202126,0.321878316,-0.637704167,15.92193488,-0.017136745,7.96101418,31.74714247,8.170840362,-0.004430685,15.92191706,-2.577071646,0.333962741,1.168461488,0.40173515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,22,0.101351384,0.004208048,0.998587425,0.780504524,"NH3:0.219495476, H2: 0.780504524","""O2: 0.21, N2: 0.79""",0.1,25.916,299.066,0.909318957,689.4321333,85567.05936,2558.284196,2466.382015,118.6799517,194234.2082,8899.677784,6698.611233,252.9421565,13.05568022,15.83117064,9.51673928,15.82792756,0.99963032,0.320294024,-0.823735633,15.82428212,-0.303334218,7.91219006,9.682748338,8.093686679,-0.027867648,15.82425398,-3.268460249,0.339329598,0.649267597,0.397736913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,22,0.101351384,0.004202579,0.999626341,0.780487805,"NH3:0.219512195, H2: 0.780487805","""O2: 0.21, N2: 0.79""",0.1,25.76581197,298.915812,0.908214195,685.0488604,85567.05936,2558.284196,2692.023093,124.9798798,197963.6236,9015.768572,6823.358692,257.5397039,11.16292458,15.84464435,10.0012595,15.84364444,0.872523775,0.32012796,-0.461686371,15.83958866,-0.384874,7.919857564,10.52368473,8.08706058,0.017533755,15.83957964,-2.527423632,0.331389942,0.603468807,0.398028245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,22,0.101351384,0.004670831,1.097457592,0.780475404,"NH3:0.219524596, H2: 0.780475404","""O2: 0.21, N2: 0.79""",0.1,25.9625,299.1125,0.902308677,694.9241667,-20848.40241,2342.696537,-4834.621949,543.6328488,-49092.09909,5694.670748,-1446.915968,163.8368937,-1.147492754,4.041385708,-1.929210611,4.045141142,-1.06588499,0.144470373,0.269360446,4.039441622,0.04415025,2.019670205,-0.285974634,2.096657617,-0.026451717,4.039329317,0.871470041,0.126948292,-0.150006418,0.102380324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,22,0.101351384,0.004670831,1.097457592,0.780475404,"NH3:0.219524596, H2: 0.780475404","""O2: 0.21, N2: 0.79""",0.1,25.9625,299.1125,0.902308677,694.9241667,73494.24801,2514.357753,19092.44233,749.8035718,193869.9821,9406.60226,5714.026862,236.9547149,4.531572366,15.95272823,7.618660306,15.95450283,4.209294525,0.359191169,-1.063733386,15.95183342,-0.174354087,7.97593849,1.129344603,8.279119139,0.104460678,15.95177306,-3.44152897,0.348543537,0.592391487,0.400575312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,22,0.101351384,0.004833715,1.100807356,0.780531198,"NH3:0.219468802, H2: 0.780531198","""O2: 0.21, N2: 0.79""",0.1,25.96578947,299.1157895,0.900225769,690.695614,73494.24801,2514.357753,19427.31231,757.5183292,196333.4323,9430.702153,5895.054955,242.0241625,4.154843813,15.90268639,7.780784709,15.90471125,3.896174879,0.352495185,-0.507595053,15.90190951,-0.138573829,7.950997745,2.093336415,8.23760214,0.077896999,15.90189422,-2.628806225,0.336190505,0.591504878,0.399323545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,22,0.101351384,0.005205456,1.146845881,0.780471992,"NH3:0.219528008, H2: 0.780471992","""O2: 0.21, N2: 0.79""",0.1,25.87356322,299.0235632,0.85047915,677.4729885,68576.69802,2515.285314,26040.21978,1051.442559,194581.486,9617.873867,5196.378007,223.8801434,4.475064054,15.9421107,6.888338336,15.94348597,4.55443289,0.367490864,-0.955797076,15.94118144,-0.103661733,7.970609435,1.476777455,8.241795659,0.160711545,15.94112758,-3.290408716,0.347751086,0.543413716,0.400100634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,22,0.101351384,0.005272776,1.14833063,0.780370803,"NH3:0.219629197, H2: 0.780370803","""O2: 0.21, N2: 0.79""",0.1,25.93644068,299.0864407,0.849688164,681.3661017,68576.69802,2515.285314,26688.59721,1072.818003,196095.3297,9635.556215,5291.44144,226.5600906,3.604127096,15.92161153,6.495999462,15.92306287,4.461646677,0.364942299,-0.880922553,15.92103019,-0.094308085,7.960537457,1.853032795,8.215576372,0.045322023,15.92098389,-2.388224395,0.334758567,0.558219142,0.399622394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,0.101351384,0.006011068,1.196399333,0.780497868,"NH3:0.219502132, H2: 0.780497868","""O2: 0.21, N2: 0.79""",0.1,25.8040404,298.9540404,0.772399324,677.1725589,62715.82327,0,34129.14541,50,203224.5593,3500,4609.872416,50,1.601767338,10,5.204720358,10,4.112475839,0.2,-0.372102908,10,0.307096197,5,1.086080537,5.15,-0.017158837,10,2.131022796,0.2,0.424418927,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,0.101351384,0.007346146,1.252120605,0.780535795,"NH3:0.219464205, H2: 0.780535795","""O2: 0.21, N2: 0.79""",0.1,25.42142857,298.5714286,0.674203082,651.7957672,59277.83626,0,39387.74659,50,201185.7329,3500,3813.345302,50,1.539980507,10,4.827699805,10,4.417691618,0.2,-0.183391813,10,0.351701754,5,1.321173489,5.14,-0.04497076,10,2.606876328,0.2,0.405814932,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
