,equivalence ratio error,eq,blend,T1[℃],Uout[m/s],Tw[K],X_CO2,delta_X_CO2,X_CO,delta_X_CO,X_H2O,delta_X_H2O,X_NO,delta_X_NO,X_NO2,delta_X_NO2,X_N2O,delta_X_N2O,X_NH3,delta_X_NH3,X_CH4,delta_X_CH4,X_HCN,delta_X_HCN,X_HNCO,delta_X_HNCO,X_HCHO,delta_X_HCHO,X_H2,delta_X_H2,X_O2,delta_X_O2,P,phi Er,phi,blend_calculated,fuel ,oxidizer,blend,T_in,U,T,CO2,CO2 Er,CO,CO Er,H2O,H2O Er,NO,NO Er,NO2,NO2 Er,N2O,N2O Er,NH3,NH3 Er,X_CH4,CH4 Er,HCN,HCN Er, HNCO,HNCO Er,HCHO,HCHO Er,H2,H2 Er,O2,O2 Er
99258.229,0.007101634,1.200114421,0.208291244,298.4034653,0.2182724,559.8882838,30326.59301,750.1759783,16878.33192,380.1562877,260242.9873,8556.468263,94.97581563,9.361944315,6.206108372,18.25863688,8.719247015,18.25912341,938.887884,93.56996371,1.728424554,9.129146907,269.5193624,10.86500123,7.840123279,18.25893441,0.668139907,18.25814842,-3.287434709,0.372556147,-0.764060304,0.456893561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.007100819,1.200226524,0.208216374,298.3539604,0.2182895,559.0222772,30326.59301,3292.761555,16785.02482,947.2276333,262665.6486,16068.99612,89.92255866,10.39442797,5.176401311,18.18714853,7.896206059,18.19011101,931.0343236,104.8858847,1.863409594,9.093038649,262.80408,17.3257171,7.210334862,18.18924298,0.800021638,18.18507519,-2.117845404,0.389482871,-0.76203237,0.459975185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.00793705,1.248095677,0.208414026,296.8947619,0.2011425,569.2798413,31939.2934,3183.298597,16166.16479,794.2796389,250990.2144,13480.03853,59.47583165,8.484104881,4.556842418,15.95207092,5.500252207,15.95274145,3468.232248,187.3525327,2.674959072,7.976270995,1275.388404,62.84134344,55.82107465,16.18010229,3.425413747,15.95144257,-0.477821786,0.32325607,-0.119856807,0.400927179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.008080409,1.250217473,0.208240721,298.4935644,0.2015736,556.8153465,31613.08016,737.8028095,17524.5272,372.0826578,260086.561,8191.339703,31.87375442,8.868310022,8.262672357,17.68883761,6.385934305,17.68851015,3413.038858,113.0315986,1.828539043,8.844092216,1134.351225,25.00909123,35.32602668,17.70297044,3.207892513,17.68814877,-2.207616219,0.356944827,-0.725657264,0.442571909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.008081261,1.250218191,0.208283603,298.4143564,0.2014959,555.8727723,31613.08016,3240.208209,17466.42159,953.0159961,262869.8617,15562.46741,28.90215346,8.969563926,7.676561743,17.67130654,5.630625863,17.66911625,3443.868741,206.8923763,2.196541242,8.834041914,1127.358591,61.86841218,34.72525428,17.76573269,3.122800469,17.66738508,-1.082125737,0.362525549,-0.717942513,0.446305957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100524.788,0.008048445,1.250506997,0.208462661,296.8080247,0.2007991,574.1372428,31939.2934,699.2741849,17134.56537,308.9366993,257655.8933,7252.876299,55.71052925,8.204050501,4.686783446,16.29384343,5.868605732,16.29395718,3760.017855,104.4663902,1.952801056,8.146890685,1412.948317,25.88758548,57.65234732,16.32437101,3.820403096,16.29377651,-1.070949695,0.326590753,-0.181684097,0.407441086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.003094567,1.300149521,0.208243942,298.4866337,0.1840492,546.1440594,30078.00725,756.998665,18714.67215,431.2467119,256023.8092,8673.88304,13.55348702,9.267151105,11.5787337,18.5261648,5.2373547,18.52471877,6622.662145,175.4801241,6.321029254,9.263248937,2672.931916,60.8632121,53.73461357,18.56368653,7.284025095,18.52506532,-2.638432986,0.375561975,-0.802484802,0.463605588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.009284276,1.30040988,0.208280041,298.3559406,0.1839044,549.2879538,30047.78648,3297.609182,18525.93589,1025.131629,259011.7704,15580.69223,10.39420166,8.926019533,9.382991968,17.82397465,4.527719675,17.81842493,6734.867469,381.7933306,6.59020446,8.915341644,2685.432353,148.2920417,63.38731187,18.15362067,6.910308447,17.8206462,-0.861664399,0.363547803,-0.729605972,0.450277447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.009291289,1.300946367,0.208257132,298.4777228,0.1839347,546.4919142,30047.78648,742.0430663,18091.18527,391.7263133,247640.0217,8153.292662,12.76911871,8.950965002,11.03587219,17.89540897,5.106865077,17.89423077,6410.828199,162.0752619,6.073679767,8.947855741,2592.097925,55.36923427,53.02408247,17.92870282,7.055092123,17.89452163,-2.532222074,0.362142349,-0.753964795,0.447754138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99258.229,0.009291239,1.300991694,0.208223329,298.5579208,0.1839964,546.4358086,30078.00725,3308.146182,18806.83627,1080.547552,261080.4681,16288.75255,11.02801923,9.273963659,10.19144953,18.51550811,4.682611998,18.50851083,6908.027486,406.1159259,6.810600322,9.261052618,2759.200209,158.2056757,61.02343563,18.83081248,7.137225776,18.51096542,-1.145721319,0.381108323,-0.820720818,0.468673102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
