,base_case
NCO + NO <=> CO + N2O,-0.00019578398158442384
NCO + NO <=> CO2 + N2,-0.00011548688773734002
HCN + M <=> CN + H + M,-1.121541977226526e-05
HCN + O <=> H + NCO,-0.0005194030993071288
HCN + O <=> CO + NH,-7.92850580807615e-05
HCN + O <=> CN + OH,-1.2699086005484862e-06
HCN + OH <=> H + HOCN,-0.00017872805323553004
HCN + OH <=> H + HNCO,-4.927572743106946e-05
HCN + OH <=> CO + NH2,-9.699937012901546e-06
H + HCN (+M) <=> H2CN (+M),4.982971315345945e-06
H2CN + N <=> CH2 + N2,-1.6232223728515707e-06
C + N2 <=> CN + N,-2.1464071779316566e-06
CH + N2 <=> HCN + N,3.077241116748849e-06
CH + N2 (+M) <=> HCNN (+M),3.786608501616171e-09
CH2 + N2 <=> HCN + NH,1.1983068430102171e-09
CH2(S) + N2 <=> HCN + NH,4.643455427451067e-12
C + NO <=> CN + O,1.1372202040050582e-06
C + NO <=> CO + N,-2.2731677924555952e-05
CH + NO <=> HCN + O,-0.00028153475708534803
CH + NO <=> H + NCO,-0.00013461999124864878
CH + NO <=> HCO + N,-3.4703525688784213e-05
CH2 + NO <=> H + HNCO,-0.0022975577710412833
CH2 + NO <=> HCN + OH,-0.0003912978714106404
CH2 + NO <=> H + HCNO,2.7730141526344457e-05
CH2(S) + NO <=> H + HNCO,-0.0001248164958796042
CH2(S) + NO <=> HCN + OH,-2.122465840616233e-05
CH2(S) + NO <=> H + HCNO,-9.576646140388577e-06
CH3 + NO <=> H2O + HCN,-0.0007783173687218269
CH3 + NO <=> H2CN + OH,-3.149994765870404e-05
HCNN + O <=> CO + H + N2,-6.3281594227271215e-09
HCNN + O <=> HCN + NO,-3.3581488756598736e-10
HCNN + O2 <=> HCO + N2 + O,3.172190993558556e-07
HCNN + OH <=> H + HCO + N2,8.255723685977309e-10
H + HCNN <=> CH2 + N2,-6.053572674029193e-07
HNCO + O <=> CO2 + NH,6.544283698543095e-06
HNCO + O <=> CO + HNO,5.558457483128163e-09
HNCO + O <=> NCO + OH,-8.90359374312043e-06
H + HNCO <=> CO + NH2,-1.6056621937214621e-06
H + HNCO <=> H2 + NCO,6.139572858901856e-05
HNCO + OH <=> H2O + NCO,2.1887594277807512e-05
HNCO + OH <=> CO2 + NH2,4.298067409367581e-06
HNCO + M <=> CO + NH + M,-5.274599041202621e-05
H + HCNO <=> H + HNCO,-0.00042126306679832697
H + HCNO <=> HCN + OH,-3.1804442467163436e-05
H + HCNO <=> CO + NH2,-2.2307845659907347e-05
H + HOCN <=> H + HNCO,-7.266102005176473e-05
HCCO + NO <=> CO + HCNO,-0.0018320035935172046
CH3 + N <=> H + H2CN,0.0009733915612188576
CH3 + N <=> H2 + HCN,-0.0011502953579803936
