,base_case
C2H5OH (+M) <=> CH2OH + CH3 (+M),-4.0714059231411005e-06
C2H5OH (+M) <=> C2H4 + H2O (+M),1.2443216773002116e-06
C2H5OH + OH <=> CH2CH2OH + H2O,1.7129132974140608e-07
C2H5OH + OH <=> CH3CHOH + H2O,-1.0313539419307269e-07
C2H5OH + OH <=> CH3CH2O + H2O,-1.137025328076436e-06
C2H5OH + H <=> CH2CH2OH + H2,-2.2023656603821186e-07
C2H5OH + H <=> CH3CHOH + H2,-7.458303465651468e-07
C2H5OH + H <=> CH3CH2O + H2,-1.142760447488318e-06
C2H5OH + O <=> CH2CH2OH + OH,3.3264026771077643e-07
C2H5OH + O <=> CH3CHOH + OH,3.901040170000468e-07
C2H5OH + O <=> CH3CH2O + OH,-5.854848052623017e-07
C2H5OH + CH3 <=> CH2CH2OH + CH4,2.2609655610527489e-07
C2H5OH + CH3 <=> CH3CHOH + CH4,9.733907715048887e-09
C2H5OH + CH3 <=> CH3CH2O + CH4,-1.3093610136604007e-07
C2H5OH + HO2 <=> CH3CHOH + H2O2,4.931981265381981e-09
C2H5OH + HO2 <=> CH2CH2OH + H2O2,3.4023498401941327e-09
C2H5OH + HO2 <=> CH3CH2O + H2O2,1.755503300094627e-10
C2H4 + OH <=> CH2CH2OH,2.684880336638577e-08
C2H5 + HO2 <=> CH3CH2O + OH,-8.747647421454288e-06
CH3CH2O + M <=> CH3CHO + H + M,2.6233655994566603e-08
CH3CH2O (+M) <=> CH2O + CH3 (+M),-1.7387609817292285e-08
CH3CH2O + O2 <=> CH3CHO + HO2,6.079559582792334e-11
CH3CH2O + CO <=> C2H5 + CO2,-2.0363325179939718e-08
CH3CH2O + H <=> CH2OH + CH3,-2.7733326617243895e-10
CH3CH2O + H <=> C2H4 + H2O,-9.164016074415978e-12
CH3CH2O + OH <=> CH3CHO + H2O,-1.99714373869706e-12
CH3CHOH + O2 <=> CH3CHO + HO2,3.363815446780439e-07
CH3CHOH + O <=> CH3CHO + OH,-3.2987754989401926e-08
CH3CHOH + H <=> C2H4 + H2O,-1.2030947275274647e-07
CH3CHOH + H <=> CH2OH + CH3,9.904665291669628e-07
